Days since first case,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,e1_2_action,Number of Tweet,c7_2_action,c6_3_action,e2_2_action,e1_1_action,e2_1_action,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,c6_2_action,c1_3_action,c4_4_action,temperature,h2_2_action,c2_2_action,c8_4_action,c4_1_action,c2_3_action,c5_2_action,c5_1_action,c3_2_action,h3_1_action,h2_3_action,h2_1_action,c4_3_action,c8_3_action,h1_2_action,urbanPopulation,population_density,cvd_death_rate,gdp_per_capita,diabetes_prevalence,life_expectancy,aged_65_older_sum,clear-day,clear-night,cloudy,partly-cloudy-day,partly-cloudy-night,rain,wind-fog-snow
40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,41,0,65.33,0,0,0,0,0,0,32,41,0,0,41,41,0,41,36.528,37.728,329.942,1136.103,3.3,60.85,5.028,0,0,0,1,0,0,0
55,1,0,0,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0,1,0,0,55,0,64.83,0,6,50,0,0,0,0,63,0,50,0,6,0,56,17.313,494.869,191.375,1854.211,4.28,69.02,4.616,0,0,0,0,0,1,0
100,0,0,0,0,1,0,0,0,0,0,89,0,0,1,0,0,0,0,0,0,0,0,0,79.88,83,0,0,0,0,0,60,98,0,0,0,7,0,83,13.25,18.22,561.494,3823.194,17.65,64.5,5.95,0,0,0,1,0,0,0
150,0,1,0,0,0,0,0,2,0,0,0,81,94,0,0,0,1,0,0,0,0,21,21,84.22,0,60,0,0,0,0,0,21,0,133,0,0,136,139,81.43,527.967,85.998,35938.374,6.8,83.03,22.536,0,0,0,1,0,0,0
35,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,89.14,58,0,0,0,0,0,0,0,0,0,0,0,58,58,100,7915.731,92.243,85535.383,10.99,83.62,19.971,0,0,0,1,0,0,0
78,0,0,1,0,0,0,56,1,52,0,56,0,0,1,0,0,0,0,0,0,0,67,65,52.71,1,1,0,0,0,53,0,68,84,0,0,0,0,105,63.405,69.874,126.459,67335.293,3.28,82.3,22.606,0,0,1,0,0,0,0
74,0,0,1,0,0,0,38,1,71,0,0,0,64,0,0,0,0,1,0,0,71,0,35,59.88,32,73,61,0,0,71,0,75,76,0,0,0,0,74,61.229,104.871,304.195,11803.431,10.08,78.57,21.831,1,0,0,0,0,0,0
50,0,0,1,0,0,0,14,1,47,0,0,0,40,0,1,0,0,0,0,0,47,51,11,58.77,8,49,37,0,0,47,0,51,52,0,0,0,0,50,61.229,104.871,304.195,11803.431,10.08,78.57,21.831,1,0,0,0,0,0,0
111,1,0,0,0,0,0,0,1,0,0,0,90,0,0,0,0,0,0,0,1,0,129,0,71.66,0,80,59,0,0,59,0,133,0,0,41,133,0,112,19.899,0,280.775,1569.888,10.43,57.85,5.473,0,0,0,1,0,0,0
126,0,0,0,1,0,0,0,0,0,0,15,127,0,0,1,0,0,0,0,0,0,131,0,79.31,0,58,127,0,0,0,0,135,0,0,126,48,0,127,45.866,16.426,176.957,7824.362,17.11,74.62,6.132,0,0,0,0,1,0,0
99,1,0,0,0,0,0,0,108.0344828,0,0,0,68,75,0,0,0,0,0,0,1,0,0,0,77.64,0,87,87,0,0,0,0,91,0,0,100,0,0,91,42.248,143.366,280.033,1429.813,6.15,61.04,4.364,0,0,0,0,0,1,0
72,0,1,0,0,0,0,0,5,20,0,6,1,0,1,0,0,0,0,0,0,0,20,0,90.62,0,0,0,0,20,0,0,20,0,0,73,0,68,73,76.607,96.254,260.942,26808.164,16.74,76.16,9.7,0,0,1,0,0,0,0
103,0,1,0,0,0,0,0,1,0,0,0,34,47,0,0,0,0,0,1,0,0,87,0,75.1,0,13,0,0,0,0,0,0,0,86,0,0,89,92,81.43,527.967,85.998,35938.374,6.8,83.03,22.536,0,0,1,0,0,0,0
65,1,0,0,0,0,0,0,1,52,0,0,34,41,1,0,0,0,0,0,0,40,53,0,78.38,0,53,53,0,0,0,0,57,0,0,66,0,0,57,42.248,143.366,280.033,1429.813,6.15,61.04,4.364,0,0,1,0,0,0,0
47,0,0,1,0,0,0,32,1,34,0,32,0,0,0,0,0,0,1,0,0,32,33,36,46.54,0,0,0,0,33,0,37,36,0,0,37,0,0,44,91.223,231.447,128.275,94277.965,4.42,82.25,24.154,0,0,0,1,0,0,0
90,0,1,0,0,0,0,0,1.75,76,0,0,9,9,1,0,0,0,0,0,0,74,91,91,76.23,61,35,70,0,0,0,35,91,91,0,0,0,0,97,70.678,88.125,218.612,15663.986,8.83,70.6,5.143,1,0,0,0,0,0,0
39,0,0,0,0,1,0,22,1,16,0,0,0,15,0,1,0,0,0,0,0,16,15,16,62.47,7,0,19,0,14,13,0,23,0,0,0,0,0,77,86.615,18.206,128.797,36085.843,8.08,82.29,25.042,0,0,0,1,0,0,0
85,0,1,0,0,0,0,0,0,72,0,62,39,0,0,0,0,0,1,0,0,0,72,0,64.26,0,35,0,27,0,0,66,84,0,0,0,0,0,0,75.391,49.831,270.308,19082.62,9.59,76.68,8.622,1,0,0,0,0,0,0
115,1,0,0,0,0,0,0,440.3333333,86,0,0,62,62,0,1,0,0,0,0,0,81,116,0,84.62,117,0,114,0,81,104,0,116,114,0,0,116,0,162,34.936,23.258,431.388,4466.507,15.67,65.31,5.582,0,0,1,0,0,0,0
46,0,1,0,0,0,0,10,1,0,0,23,0,0,0,0,0,0,1,0,0,0,45,20,81.17,0,2,0,0,0,0,14,24,0,11,0,0,75,80,89.394,1935.907,151.689,43290.705,16.52,77.29,3.759,0,0,1,0,0,0,0
172,0,1,0,0,0,0,0,9,0,0,0,103,116,0,0,0,0,1,0,0,0,43,43,84.76,0,82,0,0,0,0,0,43,0,155,0,0,0,161,81.43,527.967,85.998,35938.374,6.8,83.03,22.536,0,0,0,1,0,0,0
62,1,0,0,0,0,0,0,3,43,0,0,17,0,0,0,0,1,0,0,0,43,51,0,52.13,0,7,43,0,0,0,43,53,0,7,0,53,0,64,66.856,46.754,200.38,12294.876,5.52,64.13,8.397,1,0,0,0,0,0,0
82,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.63,0,0,0,0,0,0,0,0,0,31,0,0,68,0,79.044,46.858,443.129,17167.967,5.18,74.79,24.587,0,0,0,1,0,0,0
72,0,1,0,0,0,0,0,172,23,21,42,23,0,0,0,0,0,0,1,0,0,30,24,92.28,0,0,21,0,22,23,0,29,0,3,0,0,0,38,34.472,450.419,282.28,6426.674,10.39,69.66,9.403,1,0,0,0,0,0,0
32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,91.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.805,90.672,270.892,3645.07,4,69.82,6.797,1,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,27,0,51.81,0,0,0,0,28,18,0,26,0,0,8,25,69,18,54.821,0,376.264,22938.02011,9.59,72.7,10.59791111,1,0,0,0,0,0,0
137,0,0,0,1,0,0,89,4,84,0,0,0,86,0,0,0,1,0,0,0,0,88,81,73.05,0,0,86,0,86,0,0,92,138,85,0,0,0,93,81.482,4.037,105.599,44017.591,7.37,82.43,27.781,0,0,0,0,1,0,0
31,0,0,0,0,0,1,0,1,24,0,8,9,0,0,0,1,0,0,0,0,23,30,19,58.26,20,0,16,0,27,19,0,30,20,0,0,0,0,17,61.879,17.144,199.128,8827.01,8.27,74.25,10.211,0,1,0,0,0,0,0
25,1,0,0,0,0,0,0,0,16,0,0,0,17,0,0,0,1,0,0,0,16,21,25,60.44,0,0,0,0,16,21,0,25,25,0,25,0,23,26,35.771,44.304,311.11,1510.459,6.05,66.32,5.778,0,0,0,1,0,0,0
