Days since first case,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America,e1_2_action,Number of Tweet,c7_2_action,c6_3_action,e2_2_action,e1_1_action,e2_1_action,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,c6_2_action,c1_3_action,c4_4_action,temperature,h2_2_action,c2_2_action,c8_4_action,c4_1_action,c2_3_action,c5_2_action,c5_1_action,c3_2_action,h3_1_action,h2_3_action,h2_1_action,c4_3_action,c8_3_action,h1_2_action,urbanPopulation,population_density,cvd_death_rate,gdp_per_capita,diabetes_prevalence,life_expectancy,aged_65_older_sum,clear-day,clear-night,cloudy,partly-cloudy-day,partly-cloudy-night,rain,wind-fog-snow
31,0,0,0,0,0,1,19,0,29,0,0,0,0,0,1,0,0,0,0,0,32,41,41,43.11,0,14,0,0,0,0,0,41,0,0,32,0,28,32,0,0,187.3239167,13840.78525,5.55,81.44,13.46325,0,0,1,0,0,0,0
19,0,0,1,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,23.21,0,4,0,0,0,0,0,4,0,7,0,5,0,20,93.855,3.404,117.992,46482.958,5.31,82.99,23.638,0,1,0,0,0,0,0
97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,98,37,79.55,98,0,93,0,0,0,89,89,0,0,0,0,0,98,61.931,207.566,331.43,1561.767,1.91,62.05,3.756,0,0,0,0,1,0,0
121,0,1,0,0,0,0,0,2,0,0,61,30,0,0,0,0,0,1,0,0,0,75,0,78.56,0,0,0,0,0,0,0,0,122,0,122,0,43,102,91.698,347.778,79.37,39002.223,5.72,84.63,45.542,0,0,1,0,0,0,0
8,0,1,0,0,0,0,0,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48.34,0,0,0,0,0,0,0,0,9,0,9,0,0,0,91.698,347.778,79.37,39002.223,5.72,84.63,45.542,0,0,1,0,0,0,0
29,1,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,1,0,10,18,0,55.15,8,0,10,0,10,0,10,20,0,0,0,20,0,31,66.856,46.754,200.38,12294.876,5.52,64.13,8.397,0,0,0,1,0,0,0
46,0,1,0,0,0,0,20,1.25,31,0,0,0,0,0,0,0,1,0,0,0,0,38,26,74.45,0,31,30,0,0,33,0,26,0,0,47,0,0,20,99.188,227.322,176.69,116935.6,16.52,80.23,1.924,1,0,0,0,0,0,0
106,0,0,1,0,0,0,7,8,0,0,48,0,0,0,0,0,0,0,0,1,65,70,49,50.3,5,0,62,0,49,0,65,69,84,0,0,0,0,108,80.565,93.105,99.403,34272.36,7.17,83.56,33.235,0,1,0,0,0,0,0
68,0,1,0,0,0,0,31,8,28,0,46,0,0,0,0,0,1,0,0,0,12,49,47,56.2,0,5,50,0,0,0,46,58,0,0,99,0,0,95,92.501,402.606,93.32,33132.32,6.74,82.97,19.092,0,0,0,1,0,0,0
44,0,0,1,0,0,0,22,1,13,0,13,0,0,0,0,0,0,0,1,0,18,32,21,46.22,0,31,22,0,0,12,0,35,12,0,20,0,0,47,54.084,85.129,370.946,23313.199,9.74,76.05,29.54,1,0,0,0,0,0,0
55,0,0,1,0,0,0,34,2,40,0,37,0,0,0,1,0,0,0,0,0,37,37,37,43.65,30,8,0,0,0,0,40,42,0,0,0,0,44,58,58.515,106.749,145.183,45436.686,6.35,81.54,32.95,0,0,0,1,0,0,0
86,0,1,0,0,0,0,0,1.75,30,0,22,22,0,1,0,0,0,0,0,0,29,33,30,75.75,0,0,29,0,30,28,0,34,0,0,99,0,0,84,20.153,204.43,260.797,2442.804,7.26,70.78,9.021,1,0,0,0,0,0,0
104,0,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,88.19,0,0,0,0,0,0,0,0,0,0,113,0,0,100,35.645,29.715,368.111,6397.36,4,67.92,6.351,0,0,1,0,0,0,0
71,0,0,0,0,0,1,59,0,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35.97,26,54,0,0,0,0,0,81,0,0,0,40,68,72,0,0,187.3239167,13840.78525,5.55,81.44,13.46325,0,0,0,0,0,0,1
85,0,0,0,0,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.06,40,0,0,0,0,0,0,0,0,0,0,54,82,86,0,0,187.3239167,13840.78525,5.55,81.44,13.46325,0,0,1,0,0,0,0
87,0,0,0,0,0,1,0,1,79,0,0,69,69,0,0,0,0,0,0,1,83,88,83,39.99,0,0,69,0,78,84,0,88,0,0,62,0,0,87,69.773,10.202,204.299,6885.829,6.89,71.51,11.097,0,1,0,0,0,0,0
17,1,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52.69,0,0,0,0,0,0,0,0,0,0,19,0,0,0,42.73,97.999,525.432,10550.206,17.31,71.99,8.05,1,0,0,0,0,0,0
42,1,0,0,0,0,0,0,0,31,0,0,0,35,0,0,0,0,0,0,1,31,41,0,56.84,0,24,31,0,0,0,11,41,4,0,43,41,0,43,23.981,79.492,333.436,7738.975,3.94,60.19,5.008,0,0,1,0,0,0,0
131,0,0,1,0,0,0,0,8,0,0,9,86,0,0,0,1,0,0,0,0,0,109,0,62.12,106,26,0,0,0,0,0,109,0,0,0,0,0,132,70.736,205.859,113.151,35220.084,4.78,83.51,39.261,0,0,0,1,0,0,0
34,1,0,0,0,0,0,0,1,29,0,0,0,32,0,0,0,0,0,1,0,29,34,0,63.12,0,0,29,0,29,29,0,42,0,29,0,0,0,35,17.313,494.869,191.375,1854.211,4.28,69.02,4.616,0,0,0,0,0,1,0
27,0,0,0,0,1,0,0,0,29,0,22,21,0,0,0,0,1,0,0,0,29,29,0,79.3,37,0,19,0,29,29,0,32,0,0,0,29,0,86,56.75,49.562,412.82,8702.975,14.49,67.44,9.508,0,0,1,0,0,0,0
92,0,0,0,1,0,0,0,1,94,0,0,19,91,0,0,0,0,0,1,0,94,94,0,77.39,0,0,63,0,0,0,19,94,19,0,94,19,0,110,56.192,398.448,430.548,1653.173,6.65,64,7.754,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.86,0,0,0,0,0,0,0,0,0,0,0,0,0,4,54.084,85.129,370.946,23313.199,9.74,76.05,29.54,0,0,0,1,0,0,0
154,0,1,0,0,0,0,0,85,0,18,0,81,0,0,0,0,1,0,0,0,0,115,107,92.2,137,35,103,0,0,0,35,110,0,0,0,0,0,161,47.149,351.873,370.437,7599.188,7.07,71.23,7.464,0,0,0,1,0,0,0
9,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,41.08,0,0,0,0,0,0,0,0,0,0,18,0,0,11,80.565,93.105,99.403,34272.36,7.17,83.56,33.235,0,0,0,0,1,0,0
110,1,0,0,0,0,0,0,2.626168224,0,0,104,0,0,0,0,1,0,0,0,0,98,0,0,76.36,0,52,87,0,0,0,0,87,111,0,111,112,0,111,23.279,11.833,280.995,1768.153,6.1,54.24,3.932,0,0,0,1,0,0,0
65,1,0,0,0,0,0,0,1,56,0,23,46,0,0,0,0,1,0,0,0,49,53,0,60.78,67,0,49,0,49,49,0,55,0,0,0,55,0,56,62.994,80.08,419.146,7485.013,7.14,76.68,10.978,0,0,1,0,0,0,0
90,0,0,1,0,0,0,0,10,70,0,0,45,45,0,0,0,1,0,0,0,21,68,68,52.2,65,0,0,0,69,19,0,68,0,0,0,0,99,91,70.736,205.859,113.151,35220.084,4.78,83.51,39.261,1,0,0,0,0,0,0
22,0,0,1,0,0,0,2,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,31.27,0,7,0,0,0,0,0,7,0,10,0,8,3,23,93.855,3.404,117.992,46482.958,5.31,82.99,23.638,0,0,0,0,1,0,0
30,0,0,0,1,0,0,0,0,21,15,0,17,17,0,0,0,0,1,0,0,0,30,15,78.31,0,0,0,0,21,0,10,32,0,0,83,0,0,87,31.158,664.463,170.05,16978.068,13.57,79.19,24.425,0,0,0,0,1,0,0
3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58.23,0,0,0,0,0,0,0,0,0,0,16,0,0,1,20.153,204.43,260.797,2442.804,7.26,70.78,9.021,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0,657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82.22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,42.248,143.366,280.033,1429.813,6.15,61.04,4.364,0,0,0,0,0,1,0
6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,59.4,0,0,0,0,0,0,0,0,7,0,7,0,1,0,88.758,594.561,266.591,13367.565,12.71,78.93,13.944,0,0,0,1,0,0,0
17,0,0,0,0,0,1,0,19,2,0,4,0,0,0,0,1,0,0,0,0,2,6,0,53.29,0,0,4,0,2,4,0,6,2,0,0,2,0,6,63.986,66.939,140.448,10581.936,5.55,77.01,11.562,0,0,1,0,0,0,0
83,0,0,1,0,0,0,38,25,0,0,25,0,0,0,0,0,0,1,0,0,42,47,26,50.98,0,0,39,0,26,0,42,46,61,0,14,0,0,85,80.565,93.105,99.403,34272.36,7.17,83.56,33.235,0,0,0,0,1,0,0
147,0,0,1,0,0,0,125,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,58.8,0,0,0,0,0,0,0,149,0,42,0,20,132,142,73.849,214.243,99.739,57410.166,5.59,83.78,31.08,0,0,0,1,0,0,0
121,0,1,0,0,0,0,0,4,0,0,0,21,0,0,0,0,0,1,0,0,0,97,101,93.07,0,29,0,0,0,0,0,101,0,32,0,0,37,108,60.308,147.674,261.899,15308.712,9.74,76.91,16.57,1,0,0,0,0,0,0
14,0,0,0,1,0,0,0,105,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64.4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,80.444,66.444,152.783,17336.469,13.06,75.05,11.178,0,0,0,0,1,0,0
30,0,0,0,0,0,1,0,2,22,0,0,12,12,0,0,0,0,0,1,0,26,31,26,40.55,0,0,12,0,21,27,0,31,0,0,5,0,0,30,69.773,10.202,204.299,6885.829,6.89,71.51,11.097,0,1,0,0,0,0,0
137,0,0,0,0,0,1,0,4,70,0,117,119,0,0,0,0,0,0,0,1,84,126,123,59.42,0,0,126,0,19,119,0,131,0,0,138,0,0,179,91.991,16.177,191.032,18933.907,6.89,76.67,18.639,0,0,1,0,0,0,0
79,0,1,0,0,0,0,0,1,74,0,0,58,73,0,0,0,0,0,1,0,27,83,74,66.11,0,38,0,0,0,74,0,101,87,0,123,0,4,0,36.591,32.333,436.362,3393.474,7.11,71.45,7.371,0,0,0,1,0,0,0
124,0,0,0,1,0,0,0,0,0,0,0,111,111,1,0,0,0,0,0,0,0,0,0,80.26,93,78,0,0,0,0,104,0,0,0,0,0,0,181,31.158,664.463,170.05,16978.068,13.57,79.19,24.425,0,1,0,0,0,0,0
47,0,0,0,1,0,0,0,3,57,0,11,11,0,0,0,0,0,1,0,0,41,47,41,64.45,37,0,14,0,46,46,0,46,0,0,0,0,0,95,51.439,157.834,155.898,7423.808,10.18,74.3,7.71,0,0,0,0,1,0,0
47,1,0,0,0,0,0,0,1,0,0,0,42,42,0,1,0,0,0,0,0,0,55,0,79.46,0,0,12,0,0,0,0,49,0,0,12,49,0,48,43.136,15.196,268.024,2014.306,2.42,59.31,4.005,0,0,1,0,0,0,0
75,0,1,0,0,0,0,0,0,62,0,52,29,0,0,1,0,0,0,0,0,0,62,0,70.68,0,25,0,17,0,0,56,74,0,0,0,0,0,0,75.391,49.831,270.308,19082.62,9.59,76.68,8.622,0,0,0,1,0,0,0
121,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,0,87.9,0,0,0,0,0,0,0,0,0,0,130,0,0,117,35.645,29.715,368.111,6397.36,4,67.92,6.351,1,0,0,0,0,0,0
36,0,1,0,0,0,0,10,1.444444444,21,0,0,0,0,1,0,0,0,0,0,0,0,28,16,82.72,0,21,20,0,0,23,0,16,0,0,37,0,0,10,99.188,227.322,176.69,116935.6,16.52,80.23,1.924,1,0,0,0,0,0,0
119,0,0,0,0,0,1,0,1,111,0,0,101,0,0,0,0,1,0,0,0,16,120,115,27.3,0,14,101,0,0,116,0,120,0,0,94,0,0,119,69.773,10.202,204.299,6885.829,6.89,71.51,11.097,0,1,0,0,0,0,0
162,0,1,0,0,0,0,49,1,0,0,0,0,0,0,0,1,0,0,0,0,0,124,0,89.46,0,114,0,0,0,0,0,0,115,0,115,0,0,105,23.805,90.672,270.892,3645.07,4,69.82,6.797,0,0,0,1,0,0,0
19,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,39.01,0,0,0,0,0,0,0,0,11,2,0,0,5,8,81.43,527.967,85.998,35938.374,6.8,83.03,22.536,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58.77,0,0,0,4,0,0,0,4,6,0,6,0,0,4,21.225,104.957,182.634,1729.927,7.47,66.6,5.589,0,0,1,0,0,0,0
70,1,0,0,0,0,0,0,1.452380952,0,0,0,0,71,0,0,1,0,0,0,0,0,72,0,77.47,71,0,82,0,0,0,0,81,0,0,0,36,0,54,42.484,104.7,325.721,1390.3,2.42,54.7,3.823,0,0,0,0,1,0,0
68,0,1,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,1,48,77,45,90.97,69,18,0,0,0,55,0,80,69,0,0,0,63,69,30.852,81.721,202.104,5591.597,4.61,67.13,8.852,0,0,1,0,0,0,0
125,0,0,1,0,0,0,91,1,0,0,106,0,0,0,1,0,0,0,0,0,0,0,0,67.02,0,0,0,0,0,0,0,0,0,58,0,0,34,156,57.242,73.726,253.782,22669.797,5.59,78.49,32.777,0,0,1,0,0,0,0
54,0,1,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,26,37,15,55.36,0,0,0,0,27,23,0,50,55,0,55,0,57,50,25.754,54.422,597.029,1803.987,9.59,64.83,3.918,0,0,0,1,0,0,0
103,0,0,0,0,0,1,0,1.75,0,0,100,101,0,0,0,0,0,1,0,0,0,0,0,43.72,0,0,95,0,0,0,92,106,104,2,0,0,0,104,95.426,19.751,160.708,20551.409,6.93,77.91,25.016,0,0,1,0,0,0,0
62,1,0,0,0,0,0,0,1,58,0,45,30,0,0,0,0,0,0,1,0,58,61,0,76.18,53,31,108,0,0,0,31,58,0,0,0,16,0,7,66.177,23.89,276.045,5819.495,3.94,61.15,3.767,0,1,0,0,0,0,0
140,0,0,1,0,0,0,119,2,0,0,122,0,0,0,0,1,0,0,0,0,0,0,0,61.63,0,0,0,0,0,0,0,0,0,48,0,0,0,143,58.515,106.749,145.183,45436.686,6.35,81.54,32.95,0,0,1,0,0,0,0
109,0,1,0,0,0,0,31,1.8,37,0,31,0,0,0,0,0,0,1,0,0,0,45,0,93.92,1,0,38,0,29,0,29,53,0,0,0,47,0,57,50.692,135.132,109.861,16277.671,7.04,77.15,18.263,0,0,0,1,0,0,0
76,1,0,0,0,0,0,0,1,0,0,0,0,74,0,0,0,0,0,1,0,0,76,0,63.41,0,27,71,0,0,0,0,84,0,71,0,27,0,77,17.313,494.869,191.375,1854.211,4.28,69.02,4.616,0,0,0,1,0,0,0
12,0,0,0,1,0,0,0,199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.6,0,0,0,0,0,0,0,0,40,0,2,0,0,0,82.459,35.608,151.089,54225.446,10.79,78.86,25.145,0,1,0,0,0,0,0
92,0,1,0,0,0,0,0,1.285714286,0,0,0,23,36,0,1,0,0,0,0,0,0,76,0,47.12,0,2,0,0,0,0,0,0,0,75,0,0,78,81,81.43,527.967,85.998,35938.374,6.8,83.03,22.536,0,0,0,1,0,0,0
75,0,0,1,0,0,0,60,1,0,0,60,0,0,0,0,0,0,1,0,0,0,0,0,42.52,0,0,0,0,0,0,65,64,0,5,0,5,0,72,91.223,231.447,128.275,94277.965,4.42,82.25,24.154,1,0,0,0,0,0,0
9,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,53.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.986,66.939,140.448,10581.936,5.55,77.01,11.562,0,0,0,0,1,0,0
69,0,0,1,0,0,0,24,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39.92,0,24,21,0,0,0,0,28,41,0,43,0,0,42,85.446,18.136,153.507,40585.721,5.76,81.91,34.492,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0,0,28,0,0,0,32,0,0,0,1,0,0,0,28,38,0,56.34,0,21,28,0,0,0,8,38,1,0,40,38,0,40,23.981,79.492,333.436,7738.975,3.94,60.19,5.008,1,0,0,0,0,0,0
159,0,1,0,0,0,0,0,6,0,0,93,88,0,0,0,0,1,0,0,0,0,0,0,91.07,0,60,0,0,0,0,0,107,0,86,0,0,14,160,76.607,96.254,260.942,26808.164,16.74,76.16,9.7,0,0,0,1,0,0,0
122,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73.26,0,0,0,0,0,0,0,126,0,15,0,61,0,123,100,3457.1,230.1594146,33360.61836,8.31,79.93,29.49982051,0,1,0,0,0,0,0
64,1,0,0,0,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,1,0,66,0,83.06,0,0,65,0,0,0,0,0,59,0,65,0,0,65,16.517,16.955,238.339,926,2.42,62.42,3.931,0,0,0,0,1,0,0
65,0,0,0,1,0,0,0,1,67,0,0,0,64,0,0,0,0,0,0,1,67,67,67,77.82,0,35,36,0,0,49,0,67,0,0,67,0,0,83,56.192,398.448,430.548,1653.173,6.65,64,7.754,0,0,0,0,1,0,0
16,1,0,0,0,0,0,0,1,7,0,0,17,0,0,0,1,0,0,0,0,0,7,0,77.44,0,7,7,0,0,0,0,7,0,0,0,7,0,17,41.77,7.479,435.727,661.24,6.1,53.28,5.906,0,0,0,1,0,0,0
24,0,0,0,0,0,1,0,8,9,0,11,0,0,0,0,1,0,0,0,0,9,13,0,55.29,7,0,11,0,9,11,0,13,9,0,0,9,0,13,63.986,66.939,140.448,10581.936,5.55,77.01,11.562,0,0,0,0,0,1,0
25,0,1,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,1,0,9,26,26,59.71,0,0,5,0,5,9,0,26,26,0,27,0,0,32,70.678,88.125,218.612,15663.986,8.83,70.6,5.143,1,0,0,0,0,0,0
86,1,0,0,0,0,0,0,1,83,0,0,0,0,0,0,0,1,0,0,0,83,87,82,76.31,0,20,0,0,0,0,87,82,87,0,87,0,7,80,51.615,49.127,272.509,752.788,2.42,64.1,4.813,0,0,1,0,0,0,0
158,0,1,0,0,0,0,0,11,0,0,92,87,0,0,0,1,0,0,0,0,0,0,0,90.15,0,59,0,0,0,0,0,106,0,85,0,0,13,159,76.607,96.254,260.942,26808.164,16.74,76.16,9.7,0,0,1,0,0,0,0
15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52.65,0,0,0,0,0,0,0,0,0,0,17,0,0,0,42.73,97.999,525.432,10550.206,17.31,71.99,8.05,1,0,0,0,0,0,0
138,0,1,0,0,0,0,0,0,125,0,115,92,0,0,1,0,0,0,0,0,0,0,0,79.1,52,88,0,0,0,0,119,0,0,0,0,0,0,52,75.391,49.831,270.308,19082.62,9.59,76.68,8.622,1,0,0,0,0,0,0
54,0,0,0,1,0,0,0,0,47,0,0,55,0,0,0,0,0,0,0,1,21,59,3,79.74,0,0,55,0,3,0,0,63,0,0,54,0,0,55,45.866,16.426,176.957,7824.362,17.11,74.62,6.132,0,0,0,0,1,0,0
124,1,0,0,0,0,0,0,1,0,0,0,119,119,0,1,0,0,0,0,0,0,0,0,71.49,0,0,89,0,0,0,0,126,0,0,89,126,0,125,43.136,15.196,268.024,2014.306,2.42,59.31,4.005,0,0,1,0,0,0,0
76,1,0,0,0,0,0,0,1.30952381,0,0,0,0,77,0,1,0,0,0,0,0,0,78,0,78.36,77,0,88,0,0,0,0,87,0,0,0,42,0,60,42.484,104.7,325.721,1390.3,2.42,54.7,3.823,0,0,1,0,0,0,0
66,0,0,0,0,1,0,0,0,68,0,61,60,0,1,0,0,0,0,0,0,68,68,0,76.01,0,11,58,0,0,0,0,71,0,39,0,68,0,125,56.75,49.562,412.82,8702.975,14.49,67.44,9.508,0,0,0,1,0,0,0
9,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72.84,34,0,0,0,0,0,0,0,0,0,0,0,32,46,85.443,14.98,266.342,37960.709,12.61,77.86,3.885,1,0,0,0,0,0,0
117,1,0,0,0,0,0,0,3,88,0,0,64,64,0,0,0,1,0,0,0,0,118,0,82.12,119,2,116,0,0,0,2,118,116,0,0,118,0,164,34.936,23.258,431.388,4466.507,15.67,65.31,5.582,0,0,0,1,0,0,0
5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,79.08,0,0,0,0,0,0,0,0,6,0,6,7,18,6,23.279,11.833,280.995,1768.153,6.1,54.24,3.932,0,0,0,0,1,0,0
110,0,1,0,0,0,0,0,2.35,0,0,0,54,54,0,1,0,0,0,0,0,0,107,0,77.74,77,51,91,0,0,0,0,108,0,0,0,25,0,140,59.039,65.032,496.218,9745.079,7.11,73.77,25.108,1,0,0,0,0,0,0
121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71.87,0,0,0,0,0,0,0,125,0,14,0,60,0,122,100,3457.1,230.1594146,33360.61836,8.31,79.93,29.49982051,0,0,0,0,1,0,0
59,0,0,1,0,0,0,44,1,0,0,44,0,0,0,0,1,0,0,0,0,0,45,48,50.09,0,0,0,0,45,0,49,48,0,0,49,0,0,56,91.223,231.447,128.275,94277.965,4.42,82.25,24.154,0,0,1,0,0,0,0
97,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,59,49,92.63,0,49,0,0,0,0,0,59,50,0,50,0,0,40,23.805,90.672,270.892,3645.07,4,69.82,6.797,0,0,0,1,0,0,0
104,0,0,0,1,0,0,0,0,0,0,0,105,0,1,0,0,0,0,0,0,0,109,0,77.71,0,36,105,0,0,0,0,113,0,0,104,26,0,105,45.866,16.426,176.957,7824.362,17.11,74.62,6.132,0,0,0,0,1,0,0
58,0,0,0,0,0,1,0,2,50,0,0,40,40,0,0,0,0,0,1,0,54,59,54,37.71,0,0,40,0,49,55,0,59,0,0,33,0,0,58,69.773,10.202,204.299,6885.829,6.89,71.51,11.097,0,1,0,0,0,0,0
24,1,0,0,0,0,0,0,3,21,21,0,0,0,0,0,0,0,0,0,1,0,25,21,82.4,25,0,26,0,21,22,0,21,0,0,0,0,0,25,77.915,41.285,258.037,2705.406,6.05,67.11,6.593,0,0,1,0,0,0,0
91,0,0,1,0,0,0,0,1,0,0,69,0,0,0,1,0,0,0,0,0,0,0,0,50.75,0,71,0,0,0,0,68,0,0,0,92,81,19,82,68.222,31.212,350.06,25063.846,4.91,75.29,33.89,1,0,0,0,0,0,0
117,1,0,0,0,0,0,0,1,121,0,0,0,0,1,0,0,0,0,0,0,54,128,129,75.55,0,14,162,0,0,121,0,129,118,0,118,0,0,118,80.393,3.623,341.862,17881.509,10.43,72.91,7.24,0,0,0,1,0,0,0
86,0,0,0,1,0,0,41,0,42,0,0,0,81,0,0,0,0,0,0,1,70,86,69,78.01,0,18,77,0,0,0,71,79,0,0,38,0,0,127,53.187,266.886,228.467,28763.071,10.97,73.51,15.833,0,0,1,0,0,0,0
83,0,0,0,1,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,1,0,84,75,78.98,0,39,75,0,0,0,0,75,0,56,0,0,0,84,70.786,98.567,227.376,9673.367,11.62,75,16.17296,0,1,0,0,0,0,0
76,0,1,0,0,0,0,0,2,67,0,51,0,0,0,0,0,0,0,0,1,45,70,67,91.51,85,0,0,0,8,67,0,65,122,0,0,0,55,125,37.405,1265.036,298.003,3523.984,8.38,72.59,8.36,0,0,0,1,0,0,0
131,0,0,1,0,0,0,81,4,80,0,0,0,10,0,0,0,1,0,0,0,0,0,97,55.9,25,25,0,0,0,0,81,97,0,0,0,0,80,133,80.709,122.578,86.06,38605.671,4.77,82.66,32.797,0,0,0,0,0,1,0
22,0,0,0,0,0,1,10,0,20,0,0,0,0,0,0,0,0,0,0,1,23,32,32,38.01,0,5,0,0,0,0,0,32,0,0,23,0,19,23,0,0,187.3239167,13840.78525,5.55,81.44,13.46325,0,0,1,0,0,0,0
42,0,0,1,0,0,0,14,1,0,0,19,0,0,1,0,0,0,0,0,0,30,34,22,50.3,18,0,29,0,31,0,0,34,0,0,0,0,0,43,73.921,137.176,227.485,32605.906,6.82,79.38,30.607,0,0,0,1,0,0,0
35,0,0,1,0,0,0,5,2,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0,0,0,10,0,0,36,98.041,375.564,114.898,42658.576,4.29,81.63,31.42,0,0,0,0,0,1,0
71,0,0,1,0,0,0,49,1,45,0,49,0,0,1,0,0,0,0,0,0,45,60,58,41.23,0,0,0,0,46,46,0,61,77,0,49,0,0,98,63.405,69.874,126.459,67335.293,3.28,82.3,22.606,1,0,0,0,0,0,0
67,0,0,0,0,1,0,0,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,42,84.41,50,65,0,0,0,0,27,65,0,0,0,0,0,50,13.25,18.22,561.494,3823.194,17.65,64.5,5.95,1,0,0,0,0,0,0
49,0,1,0,0,0,0,0,3,28,19,0,0,0,0,0,1,0,0,0,0,0,25,29,47.77,4,0,0,0,25,28,0,29,0,0,0,0,0,36,60.308,147.674,261.899,15308.712,9.74,76.91,16.57,1,0,0,0,0,0,0
130,0,0,0,0,0,1,0,2,63,0,110,112,0,0,0,0,0,0,0,1,77,119,116,46.91,0,0,119,0,12,112,0,124,0,0,131,0,0,172,91.991,16.177,191.032,18933.907,6.89,76.67,18.639,0,0,1,0,0,0,0
72,0,1,0,0,0,0,0,1,58,0,0,0,0,0,0,0,1,0,0,0,56,73,73,75.15,43,17,52,0,0,0,17,73,73,0,0,0,0,79,70.678,88.125,218.612,15663.986,8.83,70.6,5.143,1,0,0,0,0,0,0
39,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.01,0,0,0,0,0,0,0,0,0,0,40,0,0,3,87.708,24.718,133.982,46949.283,4.79,82.8,33.418,0,0,1,0,0,0,0
70,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73.97,37,58,0,0,0,58,0,71,0,0,0,16,0,71,47.861,99.11,235.848,2064.236,0.99,61.77,5.186,0,0,0,0,1,0,0
129,0,1,0,0,0,0,0,2,31,0,104,0,0,0,0,0,1,0,0,0,31,123,31,88.69,138,0,0,0,1,0,47,118,175,0,0,0,108,178,37.405,1265.036,298.003,3523.984,8.38,72.59,8.36,0,0,0,1,0,0,0
135,0,0,1,0,0,0,0,4,0,0,13,90,0,0,0,0,0,0,0,1,0,113,0,66.49,110,30,0,0,0,0,0,113,0,0,0,0,0,136,70.736,205.859,113.151,35220.084,4.78,83.51,39.261,1,0,0,0,0,0,0
84,1,0,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,1,0,0,0,58,0,73.02,0,19,61,0,0,0,19,64,0,0,85,19,0,85,51.157,209.588,181.013,5338.454,2.42,54.69,4.198,0,0,1,0,0,0,0
